label,support_pos,support_neg,ap,auc,f1,precision,recall,accuracy,balanced_accuracy,mcc,specificity,lr_plus,tp,fp,fn,tn
cognac,23,1049,0.43474392350861607,0.9500974012517098,0.46153846153846156,0.5625,0.391304347826087,0.980410447761194,0.6923156629502129,0.4596257628518418,0.9933269780743557,58.63975154399725,9,7,14,1042
cooked,17,1055,0.10039013945564518,0.8471145804293281,0.18867924528301888,0.1388888888888889,0.29411764705882354,0.9598880597014925,0.6323668804014406,0.18358149054710657,0.970616113744075,10.009487665692632,5,31,12,1024
cooling,16,1056,0.1607504650205442,0.8694957386363636,0.2222222222222222,0.2,0.25,0.9738805970149254,0.6174242424242342,0.21045383558963962,0.984848484848484,16.49999999890902,4,16,12,1040
cortex,11,1061,0.15306277323782927,0.7748264930168794,0.23529411764705882,0.3333333333333333,0.18181818181818182,0.9878731343283582,0.5890240767714762,0.24051229429241053,0.9962299717247871,48.22727271446551,2,4,9,1057
coumarinic,11,1061,0.46656607181353627,0.8611944135035559,0.5,0.5555555555555556,0.45454545454545453,0.9906716417910447,0.7253877131351002,0.4978819482256311,0.9962299717247871,120.56818178616378,5,4,6,1057
creamy,40,1032,0.3418076100161807,0.7962693798449613,0.4375,0.5833333333333334,0.35,0.9664179104477612,0.6701550387596851,0.4359717933761343,0.9903100775193789,36.119999996268135,14,10,26,1022
dairy,24,1048,0.2677301995980707,0.8699904580152671,0.2702702702702703,0.38461538461538464,0.20833333333333334,0.9748134328358209,0.6003498727735321,0.2712772834807518,0.9923664122137396,27.2916666630871,5,8,19,1040
dry,31,1041,0.20152954485598193,0.7503641039942982,0.2545454545454545,0.2916666666666667,0.22580645161290322,0.9617537313432836,0.6047380000619711,0.23727622382918345,0.9836695485110463,13.827324477330523,7,17,24,1024
earthy,66,1006,0.31493553249374223,0.792954394843063,0.4132231404958678,0.45454545454545453,0.3787878787878788,0.933768656716418,0.674483402614612,0.3802009996880391,0.970178926441351,12.70202020159367,25,30,41,976
ethereal,57,1015,0.5609728365389854,0.9034655604528563,0.5909090909090909,0.52,0.6842105263157895,0.9496268656716418,0.8243712730101049,0.5706431639756467,0.9645320197044325,19.29093567196983,39,36,18,979
fatty,116,956,0.6168454364931666,0.9018630067811282,0.635593220338983,0.625,0.646551724137931,0.9197761194029851,0.7997402972154057,0.5906415196566389,0.952928870292886,13.735632183615815,75,45,41,911
fermented,29,1043,0.31243874724751675,0.887592157899957,0.3188405797101449,0.275,0.3793103448275862,0.9561567164179104,0.6757529672364132,0.3008873784629317,0.9721955896452532,13.642092746238545,11,29,18,1014
fishy,15,1057,0.4457606943397846,0.8680542415641753,0.48,0.6,0.4,0.9878731343283582,0.6981078524124744,0.48411947149913787,0.9962157048249755,105.69999997203682,6,4,9,1053
floral,212,860,0.6288164128796353,0.8680781044317684,0.6301969365426696,0.5877551020408164,0.6792452830188679,0.8423507462686567,0.7809017112768737,0.5329245654686997,0.8825581395348827,5.783672706844007,144,101,68,759
fresh,105,967,0.31014727254183994,0.7960801693997144,0.3788546255506608,0.3524590163934426,0.4095238095238095,0.8684701492537313,0.6639139213079209,0.30684002134636335,0.9183040330920362,5.012778782337567,43,79,62,888
fruit skin,10,1062,0.20725459779057256,0.7739171374764595,0.2857142857142857,0.5,0.2,0.9906716417910447,0.5990583804143021,0.31236894809495447,0.9981167608286243,106.19999994354599,2,2,8,1060
fruity,367,705,0.8194101166754486,0.8839353005971362,0.7410586552217453,0.7801204819277109,0.7057220708446866,0.8311567164179104,0.8010879857769516,0.6179681766398388,0.8964539007092186,6.815535067680707,259,73,108,632
