label,support_pos,support_neg,ap,auc,f1,precision,recall,accuracy,balanced_accuracy,mcc,specificity,lr_plus,tp,fp,fn,tn
alcoholic,20,1043,0.7176734443822944,0.9877277085330777,0.6341463414634146,0.6190476190476191,0.65,0.9858889934148636,0.8211649089165701,0.6271504355585306,0.9923298178331726,84.74374998893744,13,8,7,1035
aldehydic,28,1035,0.31286670367201375,0.9050379572118703,0.358974358974359,0.6363636363636364,0.25,0.9764816556914393,0.6230676328502366,0.389510187491713,0.9961352657004822,64.68749998324428,7,4,21,1031
alliaceous,24,1039,0.4082727462999462,0.9615816490214951,0.41025641025641024,0.5333333333333333,0.3333333333333333,0.9783631232361242,0.6632980429900472,0.4113373061168117,0.9932627526467749,49.476190468838396,8,7,16,1032
almond,17,1046,0.18843464452325795,0.8641885052300079,0.375,0.4,0.35294117647058826,0.9811853245531514,0.6721684849848053,0.3662247452950386,0.9913957934990432,41.019607838363584,6,9,11,1037
amber,20,1043,0.3413832419080992,0.9385906040268457,0.4864864864864865,0.5294117647058824,0.45,0.9821260583254939,0.721164908916575,0.4790855429222532,0.9923298178331726,58.6687499923413,9,8,11,1035
animal,24,1039,0.14845480578939468,0.7128248315688162,0.24390243902439024,0.29411764705882354,0.20833333333333334,0.9708372530573848,0.5983918832210411,0.2330302818186513,0.9884504331087576,18.038194442880563,5,12,19,1027
anisic,17,1046,0.24601913124455432,0.8124507929366774,0.358974358974359,0.3181818181818182,0.4117647058823529,0.9764816556914393,0.6987121808570339,0.35019350192210597,0.9856596558317391,28.71372548819034,7,15,10,1031
apple,60,1003,0.5384826464527253,0.9458291791292789,0.6178861788617886,0.6031746031746031,0.6333333333333333,0.955785512699906,0.8042040545031515,0.5946354692750471,0.9750747756729801,25.409333332312478,38,25,22,978
apricot,15,1048,0.16535739000732713,0.8022264631043258,0.2222222222222222,0.6666666666666666,0.13333333333333333,0.9868297271872061,0.5661895674300206,0.2943284540809593,0.9990458015267167,139.73333318676336,2,1,13,1047
aromatic,15,1048,0.04209056391986341,0.726972010178117,0.05714285714285714,0.05,0.06666666666666667,0.9689557855126999,0.5242684478371475,0.04213481729348399,0.9818702290076328,3.677192982252903,1,19,14,1029
