label,support_pos,support_neg,ap,auc,f1,precision,recall,accuracy,balanced_accuracy,mcc,specificity,lr_plus,tp,fp,fn,tn
alcoholic,20,1037,0.6090504069259349,0.9421407907425265,0.5945945945945946,0.6470588235294118,0.55,0.9858088930936613,0.7721070395371121,0.5894310619901725,0.9942140790742517,95.05833331688441,11,6,9,1031
aldehydic,29,1028,0.4446349741393733,0.9555548101435662,0.5,0.4186046511627907,0.6206896551724138,0.9659413434247871,0.7981852945122658,0.4931267574885169,0.9756809338521392,25.52275861963832,18,25,11,1003
alliaceous,25,1032,0.6108347134023783,0.9792248062015504,0.5490196078431373,0.5384615384615384,0.56,0.978240302743614,0.7741860465116163,0.5379837917415038,0.9883720930232549,48.15999999585255,14,12,11,1020
almond,16,1041,0.4286921825936833,0.8779418828049952,0.5217391304347826,0.8571428571428571,0.375,0.9895931882686849,0.687019692603254,0.5630656333508332,0.9990393852065313,390.3749995932576,6,1,10,1040
amber,19,1038,0.3392776059751095,0.9554811885204341,0.4897959183673469,0.4,0.631578947368421,0.9763481551561022,0.8071189534529797,0.4914351801894018,0.9826589595375714,36.42105262947502,12,18,7,1020
animal,24,1033,0.21971329482951787,0.7942481445627623,0.4,0.42857142857142855,0.375,0.9744560075685903,0.6816916747337769,0.38791027218667684,0.9883833494675693,32.28124999721743,9,12,15,1021
anisic,17,1040,0.4376583263531327,0.8507352941176471,0.5185185185185185,0.7,0.4117647058823529,0.9877010406811731,0.7044400452488563,0.531329285264756,0.9971153846153837,142.7450979896789,7,3,10,1037
apple,63,994,0.539350481495032,0.919660822075309,0.591304347826087,0.6538461538461539,0.5396825396825397,0.9555345316934721,0.7607869438855306,0.5709454349360332,0.9818913480885302,29.80246913415458,34,18,29,976
apricot,15,1042,0.09617651544774752,0.8119641714651312,0.23076923076923078,0.16216216216216217,0.4,0.9621570482497634,0.6851247600767617,0.23827201933260275,0.97024952015355,13.44516128986938,6,31,9,1011
aromatic,14,1043,0.17626182917558816,0.7853033830982058,0.2,0.3333333333333333,0.14285714285714285,0.9848628192999054,0.5695110258868593,0.21154992838851247,0.9961649089165859,37.249999990276294,2,4,12,1039
balsamic,54,1003,0.39606270151409717,0.8900336028950186,0.41935483870967744,0.37142857142857144,0.48148148148148145,0.9318826868495743,0.7188065433329591,0.3874628343063061,0.9561316051844457,10.975589225338597,26,44,28,959
banana,26,1031,0.4125314742402635,0.9393046332910542,0.4,0.4166666666666667,0.38461538461538464,0.9716177861873226,0.6855181675744159,0.3858128307763703,0.9864209505334618,28.32417582208706,10,14,16,1017
berry,29,1028,0.19879911566359057,0.9075875486381323,0.2727272727272727,0.2033898305084746,0.41379310344827586,0.9394512771996215,0.6840366295451421,0.2619018381122854,0.9542801556420225,9.050623624159599,12,47,17,981
bitter,11,1046,0.2194376485580319,0.7456109855727446,0.3333333333333333,0.3076923076923077,0.36363636363636365,0.9848628192999054,0.6775160785676868,0.32689475358555536,0.9913957934990432,42.26262625770657,4,9,7,1037
burnt,36,1021,0.23554200965060682,0.8914190880400479,0.3595505617977528,0.3018867924528302,0.4444444444444444,0.9460737937559129,0.7041027315268189,0.33926428484830734,0.9637610186092057,12.264264263925176,16,37,20,984
buttery,28,1029,0.3367061359179089,0.8857073441621547,0.41509433962264153,0.44,0.39285714285714285,0.9706717123935666,0.6896258503401286,0.40077847373944614,0.9863945578231283,28.874999997874742,11,14,17,1015
camphoreous,27,1030,0.4051311481304712,0.9439410284070479,0.4444444444444444,0.35555555555555557,0.5925925925925926,0.9621570482497634,0.7822186263933724,0.4410823205032816,0.9718446601941739,21.04725414995349,16,29,11,1001
caramellic,45,1012,0.5064760147932088,0.8702020202020203,0.5205479452054794,0.6785714285714286,0.4222222222222222,0.9668874172185431,0.7066644707949004,0.5196436517129307,0.991106719367588,47.47654320453195,19,9,26,1003
cheesy,37,1020,0.5165584466443586,0.933492315845257,0.47619047619047616,0.425531914893617,0.5405405405405406,0.9583727530747398,0.7570349761526154,0.4583672202832225,0.9735294117647049,20.420420419647648,20,27,17,993
cherry,15,1042,0.25880944717723686,0.9286628278950736,0.3076923076923077,0.21621621621621623,0.5333333333333333,0.9659413434247871,0.7527511196416965,0.3253131544404518,0.9721689059500951,19.16321839011416,8,29,7,1013
chocolate,13,1044,0.2959690000867115,0.8299440023577955,0.4444444444444444,0.8,0.3076923076923077,0.9905392620624409,0.6533672266430764,0.492710268373721,0.9990421455938688,321.230768895079,4,1,9,1043
cinnamon,13,1044,0.41025520686630856,0.9563807839669909,0.38095238095238093,0.27586206896551724,0.6153846153846154,0.9754020813623463,0.7976348364279158,0.4016429297727649,0.9798850574712635,30.59340659188204,8,21,5,1023
citrus,74,983,0.5102996729535293,0.8982980946358363,0.5454545454545454,0.5652173913043478,0.527027027027027,0.9385052034058656,0.7482541035440283,0.5128803175025856,0.9694811800610367,17.2689189183523,39,30,35,953
clean,20,1037,0.11565682252446019,0.7687560270009643,0.17391304347826086,0.6666666666666666,0.1,0.9820245979186376,0.5495178399228514,0.2536384733105191,0.9990356798457078,103.69999989235808,2,1,18,1036
cocoa,23,1034,0.37490246344529665,0.91031031872845,0.3870967741935484,0.75,0.2608695652173913,0.9820245979186376,0.6294676646202949,0.43589587539658314,0.9980657640232099,134.86956514759294,6,2,17,1032
coconut,18,1039,0.391707653325199,0.8495882793284141,0.3888888888888889,0.3888888888888889,0.3888888888888889,0.97918637653737,0.6891508929526142,0.37830178590525076,0.989412897016361,36.73232322884871,7,11,11,1028
coffee,22,1035,0.4293273125572064,0.9127360562143171,0.45901639344262296,0.358974358974359,0.6363636363636364,0.9687795648060549,0.806104523495813,0.46363377480646795,0.9758454106280184,26.345454544361687,14,25,8,1010
cognac,23,1034,0.43636344599906146,0.9637540997392986,0.5116279069767442,0.55,0.4782608695652174,0.9801324503311258,0.7347784038348222,0.5028146846499914,0.9912959381044478,54.94685989706069,11,9,12,1025
cooked,17,1040,0.16313430237985144,0.8665723981900452,0.30434782608695654,0.2413793103448276,0.4117647058823529,0.9697256385998108,0.6953054298642409,0.30080834995083355,0.978846153846153,19.465240640789165,7,22,10,1018
cooling,16,1041,0.280087721444287,0.8649135446685879,0.3684210526315789,0.3181818181818182,0.4375,0.9772942289498581,0.7115453890489774,0.361857351434023,0.9855907780979819,30.362499997889245,7,15,9,1026
cortex,11,1046,0.0344463885301757,0.7845471927689901,0.08,0.07142857142857142,0.09090909090909091,0.978240302743614,0.5392403963149616,0.06966576226563788,0.9875717017208404,7.314685314095575,1,13,10,1033
coumarinic,11,1046,0.38570197979176923,0.9626281939857465,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.988647114474929,0.7244046584390542,0.44880931687815045,0.9942638623326951,79.24242422859088,5,6,6,1040
creamy,37,1020,0.20509969221446048,0.7766030736618972,0.29850746268656714,0.3333333333333333,0.2702702702702703,0.9555345316934721,0.6253312135665036,0.2774241980722389,0.9803921568627442,13.783783783079786,10,20,27,1000
dairy,25,1032,0.21767891383796892,0.8426356589147287,0.2631578947368421,0.38461538461538464,0.2,0.9735099337748344,0.5961240310077475,0.26506348154399584,0.992248062015503,25.79999999666777,5,8,20,1024
dry,32,1025,0.1394457553260056,0.7518597560975608,0.2807017543859649,0.32,0.25,0.9612109744560076,0.6167073170731664,0.2631813740010877,0.9834146341463406,15.073529410854569,8,17,24,1008
earthy,65,992,0.21934383191081225,0.7818238213399504,0.28368794326241137,0.2631578947368421,0.3076923076923077,0.9044465468306528,0.6256203473945381,0.23364753326250984,0.9435483870967732,5.450549450452723,20,56,45,936
ethereal,57,1000,0.582425003419556,0.9177543859649122,0.5785123966942148,0.546875,0.6140350877192983,0.9517502365184485,0.7925175438596432,0.5540573626886822,0.970999999999999,21.173623713727316,35,29,22,971
fatty,116,941,0.5026509189851918,0.8414012972259886,0.5306122448979592,0.5038759689922481,0.5603448275862069,0.89120151371807,0.7461660375975638,0.47012472656659704,0.9319872476089257,8.238820042982123,65,64,51,877
fermented,29,1028,0.3101895973250612,0.8480142224607541,0.37037037037037035,0.4,0.3448275862068966,0.967833491012299,0.665118073259084,0.3549852525854538,0.9854085603112832,23.632183906424217,10,15,19,1013
fishy,15,1042,0.5178264910538256,0.9326295585412667,0.48,0.6,0.4,0.9877010406811731,0.6980806142034411,0.48403650654190317,0.9961612284069089,104.19999997282497,6,4,9,1038
floral,212,845,0.5695676504337052,0.8574690186446355,0.6182572614107884,0.5518518518518518,0.7028301886792453,0.825922421948912,0.7798174612035258,0.513844656037463,0.8568047337278096,4.908194292808329,149,121,63,724
fresh,104,953,0.24428662655400432,0.7766466220033901,0.3525641025641026,0.2644230769230769,0.5288461538461539,0.8088930936613056,0.6841502542578064,0.2759179316902627,0.8394543546694639,3.2940548013871744,55,153,49,800
fruit skin,10,1047,0.13496800219671823,0.827411652340019,0.2857142857142857,0.5,0.2,0.9905392620624409,0.5990448901623583,0.3123138398572168,0.9980897803247365,104.69999994513263,2,2,8,1045
fruity,368,689,0.7894416173394077,0.8693640752192844,0.7133243606998654,0.7066666666666667,0.720108695652174,0.7984862819299905,0.7802285132832697,0.5580434531837161,0.8403483309143674,4.510499011829409,265,110,103,579
garlic,24,1033,0.684292357903894,0.9849144885446919,0.6363636363636364,0.7,0.5833333333333334,0.9848628192999054,0.7887625040335466,0.6314256215882593,0.9941916747337842,100.43055553824559,14,6,10,1027
geranium,11,1046,0.23851669798160263,0.862158873631149,0.5,0.5555555555555556,0.45454545454545453,0.9905392620624409,0.7253606813836049,0.4978155193197053,0.9961759082217965,118.86363633251617,5,4,6,1042
grape,18,1039,0.44527266610469557,0.900812747299754,0.5,1.0,0.3333333333333333,0.988647114474929,0.666666666666657,0.5740448015526841,0.9999999999999991,inf,6,0,12,1039
grapefruit,14,1043,0.415499769517361,0.8915901931242296,0.4827586206896552,0.4666666666666667,0.5,0.9858088930936613,0.7461649089165685,0.4758639689872916,0.9923298178331726,65.18749999148893,7,8,7,1035
grassy,12,1045,0.08041580263000958,0.7440191387559809,0.21052631578947367,0.2857142857142857,0.16666666666666666,0.9858088930936613,0.5809409888357183,0.2114480089755734,0.9952153110047838,34.833333326043615,2,5,10,1040
green,283,774,0.6774321237370853,0.8387204280457629,0.6176470588235294,0.6436781609195402,0.5936395759717314,0.8032166508987701,0.7367422686060191,0.48617509887426374,0.8798449612403089,4.9406132451429015,168,93,115,681
hay,15,1042,0.11514827276298975,0.8577095329494562,0.2222222222222222,0.19047619047619047,0.26666666666666666,0.9735099337748344,0.6251759436980073,0.21219777892132843,0.9836852207293657,16.34509803821184,4,17,11,1025
hazelnut,10,1047,0.2604143294233912,0.9454632282712512,0.46153846153846156,0.375,0.6,0.9867549668874173,0.7952244508118129,0.4681341285466552,0.9904489016236858,62.819999993410505,6,10,4,1037
