label,support_pos,support_neg,ap,auc,f1,precision,recall,accuracy,balanced_accuracy,mcc,specificity,lr_plus,tp,fp,fn,tn
alcoholic,20,1029,0.6707312218177526,0.9283284742468416,0.65,0.65,0.65,0.9866539561487131,0.8215986394557657,0.6431972789115646,0.9931972789115637,95.54999998593681,13,7,7,1022
aldehydic,28,1021,0.3475072834656366,0.9017070099342381,0.425531914893617,0.5263157894736842,0.35714285714285715,0.9742612011439467,0.6741639848887576,0.4210026431039267,0.9911851126346709,40.51587301127074,10,9,18,1012
alliaceous,25,1024,0.5722438899205713,0.9710546875,0.5098039215686274,0.5,0.52,0.9761677788369876,0.7536523437499891,0.4976962483551919,0.9873046874999991,40.95999999676911,13,13,12,1011
almond,17,1032,0.2923952398161192,0.9017327861377109,0.3076923076923077,0.4444444444444444,0.23529411764705882,0.982840800762631,0.615224578203367,0.3155015575822154,0.995155038759689,48.56470587231734,4,5,13,1027
amber,19,1030,0.23103467069989145,0.8746550843127237,0.35,0.3333333333333333,0.3684210526315789,0.9752144899904671,0.677414409810925,0.33783768669321873,0.9864077669902904,27.105263155897468,7,14,12,1016
animal,23,1026,0.47681501707306134,0.8574031697601492,0.5714285714285714,0.8333333333333334,0.43478260869565216,0.9857006673021925,0.7164166454784205,0.5960439085116,0.9980506822612077,223.04347814634332,10,2,13,1024
anisic,18,1031,0.3034665427491922,0.764090958077379,0.4,0.5,0.3333333333333333,0.982840800762631,0.663756870352399,0.3999586642901752,0.9941804073714832,57.27777776792419,6,6,12,1025
apple,60,989,0.4725061143117864,0.9181496461071789,0.49056603773584906,0.5652173913043478,0.43333333333333335,0.9485224022878932,0.7065554432086241,0.4685015460791848,0.9797775530839221,21.428333332272242,26,20,34,969
apricot,14,1035,0.0910736393097587,0.8247757073844031,0.16393442622950818,0.10638297872340426,0.35714285714285715,0.9513822688274547,0.6582815734989517,0.1755948432381572,0.9594202898550717,8.80102040794558,5,42,9,993
aromatic,15,1034,0.06261431648550683,0.7700193423597679,0.19047619047619047,0.125,0.4,0.9513822688274547,0.6796905222437,0.20418479952911228,0.9593810444874267,9.84761904737576,6,42,9,992
balsamic,53,996,0.42601044943068134,0.8945404258543608,0.39655172413793105,0.36507936507936506,0.4339622641509434,0.9332697807435653,0.6969008107903265,0.36302486445673643,0.9598393574297179,10.805660377088971,23,40,30,956
banana,25,1024,0.36376720513666605,0.9477734375,0.42424242424242425,0.34146341463414637,0.56,0.9637750238322211,0.7668164062499884,0.41999131939974743,0.9736328124999991,21.238518517711466,14,27,11,997
berry,28,1021,0.0760566816615012,0.7602840352595495,0.14285714285714285,0.08928571428571429,0.35714285714285715,0.8856053384175405,0.6286204001678958,0.1342619442863124,0.9000979431929472,3.5749299719528524,10,102,18,919
bitter,12,1037,0.30786544504304814,0.8782545805207329,0.4,0.5,0.3333333333333333,0.988560533841754,0.6647380263580699,0.40274809719652793,0.9961427193828343,86.41666664423741,4,4,8,1033
burnt,36,1013,0.2857604320507008,0.9229735658659647,0.35789473684210527,0.288135593220339,0.4722222222222222,0.9418493803622497,0.7153806076560202,0.3403681886942009,0.9585389930898313,11.38955026427499,17,42,19,971
buttery,27,1022,0.34398667443018494,0.8923316663042691,0.3157894736842105,0.5454545454545454,0.2222222222222222,0.9752144899904671,0.6086649271580733,0.3378560494294865,0.9951076320939325,45.42222221292722,6,5,21,1017
