label,support_pos,support_neg,ap,auc,f1,precision,recall,accuracy,balanced_accuracy,mcc,specificity,lr_plus,tp,fp,fn,tn
alcoholic,20,1035,0.6114698520650806,0.9466183574879227,0.6857142857142857,0.8,0.6,0.9895734597156398,0.7985507246376657,0.6878139801930031,0.9971014492753615,206.99999992851505,12,3,8,1032
aldehydic,29,1026,0.2711582988746143,0.8708408953418028,0.3157894736842105,0.32142857142857145,0.3103448275862069,0.9630331753554502,0.6459131545338384,0.2968471503770551,0.9814814814814806,16.758620688748852,9,19,20,1007
alliaceous,24,1031,0.2772991932375825,0.9555043646944714,0.3728813559322034,0.3142857142857143,0.4583333333333333,0.9649289099526066,0.7175274814096246,0.36219710323195575,0.9767216294859351,19.68923611026373,11,24,13,1007
almond,17,1038,0.2895026763713573,0.9587441913181457,0.42424242424242425,0.4375,0.4117647058823529,0.9819905213270143,0.701547092825557,0.4152999761278985,0.9913294797687853,47.49019607294669,7,9,10,1029
amber,19,1036,0.41022586848760106,0.9482828693355009,0.5,0.5294117647058824,0.47368421052631576,0.9829383886255925,0.7329811014021411,0.49213497489022967,0.9922779922779914,61.34210525520393,9,8,10,1028
animal,24,1031,0.21055582758475208,0.7744907856450048,0.3018867924528302,0.27586206896551724,0.3333333333333333,0.9649289099526066,0.6564823795667563,0.28540245954634846,0.9796314258001931,16.365079364274553,8,21,16,1010
anisic,17,1038,0.42858980310332034,0.8434206052363141,0.5333333333333333,0.6153846153846154,0.47058823529411764,0.9867298578199052,0.7328856398050407,0.5316065304872744,0.9951830443159915,97.69411762675513,8,5,9,1033
apple,60,995,0.570360124714698,0.9306700167504188,0.5185185185185185,0.4117647058823529,0.7,0.9260663507109005,0.8198492462311495,0.50132106846385,0.9396984924623106,11.608333333140456,42,60,18,935
apricot,14,1041,0.10486735581291351,0.8611911623439001,0.16666666666666666,0.2,0.14285714285714285,0.981042654028436,0.5675861122546946,0.15963153814241937,0.9923150816522566,18.58928571186334,2,8,12,1033
aromatic,15,1040,0.03980187371014213,0.693076923076923,0.09523809523809523,0.16666666666666666,0.06666666666666667,0.9819905213270143,0.5309294871794845,0.09738714738320735,0.9951923076923068,13.866666663778963,1,5,14,1035
balsamic,53,1002,0.5184523005264473,0.9064700787105036,0.48175182481751827,0.39285714285714285,0.6226415094339622,0.9327014218009478,0.7858716529205676,0.4613426713514322,0.9491017964071846,12.233074361579382,33,51,20,951
banana,26,1029,0.41325527551082764,0.9071914480077745,0.43137254901960786,0.44,0.4230769230769231,0.9725118483412323,0.7047357404500176,0.4173778560126442,0.9863945578231283,31.096153843865018,11,14,15,1015
berry,29,1026,0.13173510403287592,0.7459501243530282,0.21052631578947367,0.21428571428571427,0.20689655172413793,0.957345971563981,0.5927270282987122,0.1886447743614638,0.9785575048732935,9.648902820865919,6,22,23,1004
bitter,11,1044,0.06164912235152131,0.7246603970741903,0.07407407407407407,0.0625,0.09090909090909091,0.976303317535545,0.5382706374085638,0.06361719525047085,0.9856321839080451,6.327272726831378,1,15,10,1029
burnt,36,1019,0.19193468080285894,0.8327336168356778,0.24719101123595505,0.20754716981132076,0.3055555555555556,0.9364928909952607,0.6321693381310606,0.21969858391903802,0.9587831207065741,7.413359788179548,11,42,25,977
buttery,27,1028,0.21468076656492902,0.8671638564634673,0.3287671232876712,0.2608695652173913,0.4444444444444444,0.9535545023696682,0.7056852572416688,0.318117162696026,0.9669260700389096,13.437908496324871,12,34,15,994
camphoreous,26,1029,0.29032761648025923,0.8679823577782761,0.36065573770491804,0.3142857142857143,0.4230769230769231,0.9630331753554502,0.699876653958278,0.34606072993076964,0.9766763848396492,18.139423076143952,11,24,15,1005
caramellic,44,1011,0.48748218177739294,0.8645355633486196,0.4864864864864865,0.6,0.4090909090909091,0.9639810426540284,0.6986107364445592,0.47776251630087435,0.9881305637982186,34.46590908800175,18,12,26,999
cheesy,36,1019,0.3531400865625226,0.8848544324501145,0.36363636363636365,0.5263157894736842,0.2777777777777778,0.966824644549763,0.6344727946788747,0.3671521625367023,0.9911678115799794,31.4506172803852,10,9,26,1010
cherry,16,1039,0.12066845999815061,0.8497353224254092,0.2857142857142857,0.2631578947368421,0.3125,0.976303317535545,0.6495127526467656,0.2748016397546776,0.9865255052935507,23.19196428399022,5,14,11,1025
chocolate,14,1041,0.2304926913013454,0.7628653766982296,0.25,1.0,0.14285714285714285,0.9886255924170616,0.5714285714285658,0.37580465833879867,0.9999999999999991,inf,2,0,12,1041
